Date,Open,High,Low,Close,SMA_20,SMA_50,macd,macdsignal,macdhist,cci,rsi,CDLXSIDEGAP3METHODS,CDLEVENINGSTAR,CDLMORNINGSTAR,CDLENGULFING
2015-08-03,2.926,2.95,2.888,2.9219999999999997,,,,,,,,0,0,0,0
2015-08-04,2.9160000000000004,2.95,2.858,2.872,,,,,,,,0,0,0,0
2015-08-05,2.924,3.0,2.912,3.0,,,,,,,,0,0,0,0
2015-08-06,3.0,3.03,2.948,2.97,,,,,,,,0,0,0,0
2015-08-07,2.944,2.97,2.908,2.924,,,,,,,,0,0,0,0
2015-08-10,2.95,2.95,2.91,2.932,,,,,,,,0,0,0,0
2015-08-11,2.938,2.938,2.89,2.89,,,,,,,,0,0,0,0
2015-08-12,2.89,2.89,2.6519999999999997,2.7,,,,,,,,0,0,0,0
2015-08-13,2.7319999999999998,2.826,2.7,2.73,,,,,,,,0,0,0,0
2015-08-14,2.74,2.758,2.68,2.6860000000000004,,,,,,,,0,0,0,0
2015-08-17,2.7039999999999997,2.74,2.6860000000000004,2.71,,,,,,,,0,0,0,0
2015-08-18,2.71,2.838,2.702,2.772,,,,,,,,0,0,0,0
2015-08-19,2.758,2.762,2.688,2.7060000000000004,,,,,,,,0,0,0,0
2015-08-20,2.7060000000000004,2.7060000000000004,2.592,2.592,,,,,,-122.597864768683,,0,0,0,0
2015-08-21,2.588,2.6239999999999997,2.522,2.54,,,,,,-137.9249500058818,28.442437923250548,0,0,0,0
2015-08-24,2.47,2.546,2.4,2.5,,,,,,-156.49810877308968,27.12369597615497,0,0,0,0
2015-08-25,2.5140000000000002,2.61,2.488,2.55,,,,,,-108.13269127875841,31.405037946455305,0,0,0,0
2015-08-26,2.548,2.57,2.484,2.522,,,,,,-107.46529849262197,30.33044240393974,0,0,0,0
2015-08-27,2.56,2.574,2.502,2.5639999999999996,,,,,,-79.28068490958555,33.979657220813955,0,0,0,0
2015-08-28,2.5839999999999996,2.62,2.5340000000000003,2.56,2.7321,,,,,-54.45058317986485,33.79808730818166,0,0,0,0
2015-08-31,2.5660000000000003,2.57,2.494,2.524,2.7122,,,,,-73.02252488213689,32.133851485089274,0,0,0,0
2015-09-01,2.52,2.52,2.454,2.5,2.6936000000000004,,,,,-88.69499241274619,31.036638729351186,0,0,0,0
2015-09-02,2.49,2.52,2.4419999999999997,2.508,2.6690000000000005,,,,,-82.01927288655267,31.87170133833558,0,0,0,0
2015-09-03,2.524,2.5380000000000003,2.4619999999999997,2.512,2.6461000000000006,,,,,-65.55981268624936,32.313028228221995,0,0,0,0
2015-09-04,2.496,2.5,2.4,2.432,2.6215000000000006,,,,,-115.4152915291524,28.356612868645115,0,0,0,0
2015-09-07,2.444,2.458,2.39,2.41,2.5954000000000006,,,,,-139.91800535475184,27.36435001542351,0,0,0,0
2015-09-08,2.39,2.456,2.39,2.444,2.573100000000001,,,,,-117.82312925170031,31.361766477432727,0,0,0,0
2015-09-09,2.488,2.53,2.474,2.48,2.5621000000000005,,,,,-14.161490683229601,35.41471789066928,0,0,0,0
2015-09-10,2.49,2.542,2.468,2.474,2.549300000000001,,,,,-6.535947712418458,35.043316154753946,0,0,0,0
2015-09-11,2.5,2.5,2.41,2.438,2.536900000000001,,,,,-85.80246913580295,32.81936017602259,0,0,0,0
2015-09-14,2.406,2.4459999999999997,2.346,2.378,2.520300000000001,,,,,-152.37467018469707,29.463257881591183,0,0,0,0
2015-09-15,2.378,2.396,2.356,2.37,2.500200000000001,,,,,-138.90947088439296,29.036895691792964,0,0,0,0
2015-09-16,2.3819999999999997,2.4,2.34,2.3680000000000003,2.4833000000000007,,,,,-122.08452494439118,28.92420603515976,0,0,0,0
2015-09-17,2.38,2.38,2.35,2.3680000000000003,2.472100000000001,,-0.12272793341025601,-0.13860786959757088,0.01587993618731487,-113.21897073662979,28.92420603515976,0,0,0,0
2015-09-18,2.36,2.372,2.3040000000000003,2.32,2.461100000000001,,-0.12233695937687239,-0.1353536875534312,0.0130167281765588,-135.85515680569026,26.10434749863508,0,0,0,0
2015-09-21,2.312,2.3280000000000003,2.2680000000000002,2.28,2.4501000000000013,,-0.12382737049741932,-0.1330484241422288,0.00922105364480949,-153.0833540269847,24.004169976785654,0,0,0,0
2015-09-22,2.292,2.292,2.146,2.146,2.4299000000000013,,-0.1342733920819228,-0.13329341773016762,-0.0009799743517551751,-205.42241587993223,18.60427411920375,0,0,0,0
2015-09-23,2.14,2.296,2.1180000000000003,2.2640000000000002,2.4170000000000016,,-0.13151431050759443,-0.132937596285653,0.0014232857780585584,-145.4545454545456,32.91566115551825,0,0,0,0
