Date,Open,High,Low,Close,macd_cla,macdsignal_cla,macdhist_cla,macd_sh,macdsignal_sh,macdhist_sh,cci_14,cci_20,rsi_7,rsi_14,rsi_21,CDLXSIDEGAP3METHODS,CDLEVENINGSTAR,CDLMORNINGSTAR,CDLENGULFING,CDLDARKCLOUDCOVER,CDLDOJI,CDLHAMMER,CDLHANGINGMAN,CDLHARAMI,CDLPIERCING,CDLSHOOTINGSTAR
2015-08-03,8.91,8.94,8.53,8.78,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-04,9.0,9.375,8.9,9.35,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-05,9.35,9.63,9.35,9.54,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-06,9.595,9.87,9.555,9.75,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-07,9.75,9.97,9.55,9.78,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-10,9.97,10.3,9.81,10.1,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-11,10.23,10.6,10.11,10.5,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-12,10.55,10.63,10.07,10.15,,,,,,,,,83.09178743961354,,,0,0,0,-100,0,0,0,0,0,0,0
2015-08-13,10.35,10.88,10.28,10.88,,,,,,,,,88.02053622361667,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-14,10.86,10.88,10.21,10.21,,,,,,,,,67.08209550032609,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-17,10.3,10.52,10.22,10.33,,,,,,,,,68.6408504176158,,,0,0,0,0,0,100,0,0,0,0,0
2015-08-18,10.39,10.39,9.71,9.765,,,,,,,,,54.47204264834215,,,0,0,0,-100,0,0,0,0,0,0,0
2015-08-19,9.74,9.935,9.605,9.695,,,,,,,,,52.89387753091771,,,0,0,0,0,0,100,0,0,0,0,0
2015-08-20,9.66,9.77,9.225,9.25,,,,,,,-71.31995969588738,,43.53850560541929,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-21,9.1,9.415,9.045,9.18,,,,,,,-116.3344242784885,,42.16970241959372,54.219409282700425,,0,0,0,0,0,0,0,0,0,0,0
2015-08-24,8.94,9.01,8.55,8.66,,,,,,,-174.99542375983867,,33.14002208844965,48.49056603773585,,0,0,0,0,0,0,0,0,0,0,0
2015-08-25,8.8,9.08,8.78,8.98,,,,,,,-125.49019607843105,,42.04897005877749,51.86139688236891,,0,0,0,0,0,0,0,0,0,0,0
2015-08-26,9.08,9.36,8.775,9.145,,,,,,,-89.92425981179726,,46.34943351269172,53.54935092493777,,0,0,0,0,0,0,0,0,0,0,0
2015-08-27,9.47,9.79,9.375,9.715,,,,,,,-19.710275463484212,,58.7012035814057,58.90957955580636,,0,0,0,0,0,0,0,0,0,0,0
2015-08-28,9.79,9.86,9.505,9.64,,,,,,,-11.185622911271766,-1.5855855855854744,56.69741747287288,57.96180612860774,,0,0,0,0,0,0,0,0,0,0,0
2015-08-31,9.65,9.855,9.53,9.745,,,,,,,0.7567939456481498,-2.786261587097443,58.98422744326347,58.95736413334129,,0,0,0,0,0,0,0,0,0,0,0
2015-09-01,9.515,9.675,9.405,9.64,,,,,,,-12.682379349046114,-28.826039661952965,55.5610195482934,57.491114452129956,56.51515151515153,0,0,0,0,0,0,0,0,0,0,0
2015-09-02,9.715,9.76,9.1,9.1,,,,,,,-42.308276385725215,-68.23071406618166,41.21077231244098,50.5309925666001,52.04409097251291,0,0,0,-100,0,0,0,0,0,0,0
2015-09-03,9.175,9.345,9.055,9.3,,,,,,,-47.503566333809204,-74.36196398497214,47.11306328033416,52.8097060364774,53.47546531302877,0,0,0,0,0,0,0,0,100,0,0
2015-09-04,9.205,9.29,8.99,9.08,,,,,,,-60.92715231788131,-82.44889937106912,41.73569276170196,50.077123634768704,51.69338189279168,0,0,0,0,0,0,0,0,0,0,0
2015-09-07,9.12,9.2,9.005,9.11,,,,,,,-56.12554397995597,-76.99296904060644,42.774802189222214,50.45361476526964,51.92278570261315,0,0,0,0,0,100,0,0,0,0,0
2015-09-08,9.085,9.35,9.07,9.29,,,,,,,-14.355231143552714,-52.05550177476594,49.12596079425941,52.75579655538428,53.3193827875187,0,0,0,100,0,0,0,0,0,0,0
2015-09-09,9.42,9.695,9.32,9.525,,,,,,,62.186405717848565,-3.5391242430010292,56.482473726363935,55.65295574612463,55.10708151695286,0,0,0,0,0,0,0,0,0,0,0
2015-09-10,9.42,9.49,9.31,9.395,,,,,,,25.820423121772013,-14.294479544964727,51.6611922543713,53.691451962773115,53.907926959948625,0,0,0,0,0,100,0,0,0,0,0
2015-09-11,9.35,9.495,9.21,9.28,,,,,,,-6.5805867029110345,-20.403153750233212,47.47857848198064,51.94722716137862,52.83992094845896,0,0,0,0,0,0,0,0,0,0,0
2015-09-14,9.25,9.265,9.015,9.1,,,,,,,-82.56023013304569,-62.35605513732744,41.363254198521844,49.25032166545501,51.173702756048215,0,0,0,0,0,0,0,0,0,0,0
2015-09-15,9.075,9.1,8.845,9.0,,,,,,,-126.28260743825581,-95.69295322719964,38.17620462736017,47.76664165960406,50.24939343961534,0,0,0,0,0,0,100,0,0,0,0
2015-09-16,9.11,9.31,9.06,9.27,,,,,,,-41.07981220657269,-21.085725126704396,50.25075947300912,51.973523782765376,52.672842909960515,0,0,100,0,0,0,0,0,0,0,0
2015-09-17,9.325,9.545,9.24,9.525,-0.1656384993091251,-0.2336177602650239,0.06797926095589879,,,,53.510063819342115,50.900664214596354,59.060801953950396,55.60982886218373,54.85368208439192,0,0,0,0,0,0,0,0,0,0,0
2015-09-18,9.5,9.5,9.205,9.4,-0.144540950374628,-0.21580239828694472,0.07126144791231673,,,,41.68834923388177,26.152197213289845,53.62940949925188,53.47253196908217,53.58282143687444,0,0,0,0,0,0,0,0,-100,0,0
2015-09-21,9.465,9.59,9.21,9.59,-0.11120764621939827,-0.19488344787343542,0.08367580165403715,,,,97.20944495553522,50.37436358191035,60.13123108538847,56.22646388035246,55.23796201142635,0,0,0,0,0,0,0,0,0,0,0
2015-09-22,9.48,9.59,9.13,9.21,-0.11413787634029404,-0.17873433356680715,0.06459645722651311,,,,18.686401480111076,-12.387164788825565,45.307968632026096,49.86893227435457,51.389808071641276,0,0,0,0,0,0,0,0,0,0,0
2015-09-23,9.015,9.3,8.985,9.025,-0.1298907588983731,-0.16896561863312035,0.03907485973474725,,,,-77.94075352315254,-94.53968883163215,39.74326356988441,47.07806504377054,49.62266267005549,0,0,0,0,0,100,0,0,0,0,0
2015-09-24,9.115,9.245,8.745,8.805,-0.15830238188378054,-0.1668329712832524,0.00853058939947185,-0.36021179534913905,-0.24446931380233677,-0.11574248154680228,-140.6708595387842,-146.18317514399342,33.957040932563885,43.92957892542488,47.57971439256046,0,0,0,-100,0,0,0,0,0,0,0
2015-09-25,8.93,8.955,8.555,8.6,-0.19511146106740362,-0.17248866924008263,-0.022622791827320993,-0.47383857489421466,-0.32092573416629605,-0.1529128407279186,-190.02178649237493,-202.00000000000003,29.31693267896281,41.166799899765664,45.73737751168454,0,0,0,0,0,0,0,0,0,0,0
