Date,Open,High,Low,Close,macd_cla,macdsignal_cla,macdhist_cla,macd_sh,macdsignal_sh,macdhist_sh,cci_14,cci_20,rsi_7,rsi_14,rsi_21,CDLXSIDEGAP3METHODS,CDLEVENINGSTAR,CDLMORNINGSTAR,CDLENGULFING,CDLDARKCLOUDCOVER,CDLDOJI,CDLHAMMER,CDLHANGINGMAN,CDLHARAMI,CDLPIERCING,CDLSHOOTINGSTAR
2015-08-03,7.245,7.485,7.245,7.425,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-04,7.425,7.57,7.28,7.37,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-05,7.405,7.55,7.405,7.525,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-06,7.495,7.55,7.425,7.44,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-07,7.425,7.44,7.36,7.375,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-10,7.4,7.49,7.36,7.415,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-11,7.38,7.415,7.26,7.285,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-12,7.25,7.27,7.055,7.085,,,,,,,,,26.71232876712331,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-13,7.15,7.225,7.15,7.18,,,,,,,,,36.37264618434092,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-14,7.17,7.255,7.17,7.2,,,,,,,,,38.36800000000004,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-17,7.27,7.3,7.15,7.25,,,,,,,,,43.532860982164685,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-18,7.24,7.29,7.105,7.11,,,,,,,,,34.176875271732214,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-19,7.1,7.1,6.96,6.985,,,,,,,,,27.925188385140277,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-20,6.95,6.96,6.77,6.825,,,,,,,-183.74501992031847,,21.933712986209667,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-21,6.71,6.875,6.685,6.685,,,,,,,-180.75601374570505,,17.99284155042394,24.657534246575352,,0,0,0,0,0,0,0,0,0,0,0
2015-08-24,6.55,6.645,6.355,6.38,,,,,,,-209.18296359279518,,12.352070562076129,20.129032258064523,,0,0,0,0,0,0,0,0,0,0,0
2015-08-25,6.46,6.72,6.445,6.645,,,,,,,-128.50975339617136,,33.48837646370759,31.841666901945274,,0,0,0,0,0,0,0,0,0,0,0
2015-08-26,6.525,6.695,6.48,6.6,,,,,,,-107.667217350786,,31.96141910825977,31.010057212956987,,0,0,0,0,0,0,0,0,-100,0,0
