Date,Open,High,Low,Close,macd_cla,macdsignal_cla,macdhist_cla,macd_sh,macdsignal_sh,macdhist_sh,cci_14,cci_20,rsi_7,rsi_14,rsi_21,CDLXSIDEGAP3METHODS,CDLEVENINGSTAR,CDLMORNINGSTAR,CDLENGULFING,CDLDARKCLOUDCOVER,CDLDOJI,CDLHAMMER,CDLHANGINGMAN,CDLHARAMI,CDLPIERCING,CDLSHOOTINGSTAR
2015-08-03,0.7185,0.7315,0.7185,0.722,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-04,0.725,0.725,0.7170000000000001,0.7190000000000001,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-05,0.7240000000000001,0.74,0.716,0.7340000000000001,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-06,0.736,0.7475,0.7340000000000001,0.7445,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-07,0.7440000000000001,0.7445,0.733,0.7340000000000001,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-10,0.7440000000000001,0.7440000000000001,0.7335,0.7335,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-11,0.735,0.737,0.725,0.725,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-12,0.725,0.725,0.7025,0.7025,,,,,,,,,36.17021276595745,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-13,0.716,0.7205,0.708,0.708,,,,,,,,,41.495124593716106,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-14,0.716,0.7195,0.7085,0.7095,,,,,,,,,43.00791556728235,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-17,0.7190000000000001,0.7190000000000001,0.71,0.716,,,,,,,,,49.5968264668516,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-18,0.7145,0.722,0.7090000000000001,0.722,,,,,,,,,55.177422701805355,,,0,0,0,100,0,0,0,0,0,0,0
2015-08-19,0.7190000000000001,0.7195,0.7,0.703,,,,,,,,,39.15942658755229,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-20,0.7040000000000001,0.7105,0.7,0.7,,,,,,,-115.96759875721287,,37.17162617127278,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-21,0.698,0.7035,0.69,0.69,,,,,,,-142.9951690821252,,31.043441433582576,36.885245901639315,,0,0,0,0,0,0,0,0,0,0,0
2015-08-24,0.68,0.68,0.65,0.66,,,,,,,-236.21265036864528,,19.684916938162285,29.16251246261215,,0,0,0,0,0,0,0,0,0,0,0
2015-08-25,0.6635,0.698,0.6565,0.69,,,,,,,-128.46784134580534,,43.712527946414724,42.19600725952811,,0,0,0,0,0,0,0,0,0,0,0
2015-08-26,0.69,0.696,0.68,0.6935,,,,,,,-78.62375138734754,,45.91487080411428,43.50206324783912,,0,0,0,0,0,0,0,0,0,0,0
2015-08-27,0.6945,0.7190000000000001,0.6945,0.7075,,,,,,,6.071118820468209,,54.26557646390784,48.51328703943448,,0,0,0,0,0,0,0,0,0,0,0
2015-08-28,0.7025,0.7095,0.693,0.7,,,,,,,-12.686084142394611,-49.24477550175903,49.48982978636017,46.15163343691905,,0,0,0,0,0,0,0,0,-100,0,0
2015-08-31,0.695,0.7045,0.685,0.7045,,,,,,,-17.728758169934466,-55.88620625116976,52.42093116414335,47.793786463885255,,0,0,0,100,0,0,100,0,0,0,0
2015-09-01,0.6815,0.6970000000000001,0.6815,0.6970000000000001,,,,,,,-46.244343891402416,-75.20058351568191,47.105712630185025,45.31349843331766,44.292237442922385,0,0,0,0,0,0,0,0,0,0,0
2015-09-02,0.6995,0.7025,0.685,0.696,,,,,,,-24.141749723144354,-57.55693581780527,46.37427209240606,44.97833435441977,44.08089070665756,0,0,0,0,-100,0,0,0,0,0,0
2015-09-03,0.7015,0.7015,0.68,0.695,,,,,,,-31.414022718370077,-61.01010101010123,45.54912331619431,44.62288948804593,43.86113654604853,0,0,0,0,0,0,0,0,0,0,0
2015-09-04,0.695,0.6955,0.67,0.6709999999999999,,,,,,,-105.53821251011628,-115.28822055137842,30.402345019840162,37.05446691430333,38.96591687404969,0,0,0,0,0,0,0,0,0,0,0
2015-09-07,0.6755,0.688,0.6709999999999999,0.6735,,,,,,,-98.25001493161335,-112.48628483651588,33.10571100382407,38.22974470685735,39.70197725424961,0,0,0,0,0,100,0,0,100,0,0
2015-09-08,0.674,0.691,0.674,0.684,,,,,,,-48.73308733087301,-76.22394003279449,43.8018768839887,43.0401168674687,42.746915542059035,0,0,0,0,0,0,0,0,0,0,0
2015-09-09,0.69,0.698,0.6829999999999999,0.6895,,,,,,,10.783532536521362,-31.560490940969924,48.804429387211734,45.437046188990315,44.294090344706014,0,0,0,0,0,100,0,0,0,0,0
2015-09-10,0.682,0.693,0.682,0.687,,,,,,,-7.548457548455958,-43.25857179685383,46.6044368032746,44.51997499340286,43.7300795954965,0,0,0,0,0,0,0,0,0,0,0
2015-09-11,0.684,0.693,0.6825,0.685,,,,,,,-32.46592317224124,-40.92844389506816,44.722833506271,43.75906090394556,43.26729317567592,0,0,0,0,0,100,0,0,0,0,0
2015-09-14,0.6825,0.6895,0.6625,0.6705,,,,,,,-145.63453424212895,-115.09971509971459,33.33803017221587,38.607120661998415,40.04148993902389,0,0,0,0,0,0,0,0,0,0,0
