Date,Open,High,Low,Close,macd_cla,macdsignal_cla,macdhist_cla,macd_sh,macdsignal_sh,macdhist_sh,cci_14,cci_20,rsi_7,rsi_14,rsi_21,CDLXSIDEGAP3METHODS,CDLEVENINGSTAR,CDLMORNINGSTAR,CDLENGULFING,CDLDARKCLOUDCOVER,CDLDOJI,CDLHAMMER,CDLHANGINGMAN,CDLHARAMI,CDLPIERCING,CDLSHOOTINGSTAR
2015-08-03,2.766,2.84,2.766,2.8339999999999996,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-04,2.8139999999999996,2.844,2.7560000000000002,2.83,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-05,2.83,2.87,2.8139999999999996,2.852,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-06,2.878,2.888,2.8360000000000003,2.878,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-07,2.846,2.8480000000000003,2.722,2.83,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-10,2.8,2.82,2.7039999999999997,2.736,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-11,2.7,2.7239999999999998,2.6,2.608,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-12,2.6,2.6,2.45,2.454,,,,,,,,,10.084033613445396,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-13,2.478,2.512,2.43,2.46,,,,,,,,,11.387163561076576,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-14,2.454,2.504,2.418,2.4419999999999997,,,,,,,,,10.837438423645287,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-17,2.456,2.494,2.414,2.42,,,,,,,,,10.139460252974386,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-18,2.42,2.448,2.344,2.354,,,,,,,,,8.27430577320878,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-19,2.33,2.35,2.258,2.276,,,,,,,,,6.60028723472223,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-20,2.258,2.28,2.224,2.242,,,,,,,-117.7567063781507,,5.984555291205754,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-21,2.22,2.2880000000000003,2.2,2.226,,,,,,,-105.26053013798112,,5.692976395088095,7.541899441340765,,0,0,0,0,0,100,0,0,0,0,0
2015-08-24,2.18,2.18,2.03,2.05,,,,,,,-138.3262507790811,,3.502800231150295,5.963302752293563,,0,0,0,0,0,0,0,0,0,0,0
2015-08-25,2.08,2.25,2.062,2.226,,,,,,,-98.09717974855589,,33.39668234459497,23.261096772817446,,0,0,0,0,0,0,0,0,0,0,0
2015-08-26,2.21,2.248,2.1519999999999997,2.202,,,,,,,-79.0136986301371,,31.828043679535895,22.64926678627288,,0,0,0,0,0,100,0,0,-100,0,0
2015-08-27,2.26,2.33,2.2359999999999998,2.278,,,,,,,-38.94139886578477,,41.90852232323778,29.01642272731426,,0,0,0,0,0,0,0,0,0,0,0
2015-08-28,2.296,2.296,2.174,2.182,,,,,,,-58.849557522124194,-77.67650115935085,34.410158619696354,26.09447804214506,,0,0,0,-100,0,0,0,0,0,0,0
2015-08-31,2.158,2.234,2.158,2.234,,,,,,,-57.221194924440674,-74.41058980183301,41.07297120906711,30.194931368245392,,0,0,0,0,0,0,0,0,0,0,0
2015-09-01,2.2119999999999997,2.22,2.108,2.1519999999999997,,,,,,,-80.99586246254795,-82.37267954754557,34.6056387694562,27.594897737998565,25.60801144492132,0,0,0,0,0,0,0,0,0,0,0
2015-09-02,2.2119999999999997,2.2119999999999997,2.102,2.112,,,,,,,-87.16464313473232,-82.71399842616063,31.759622821165106,26.400660699255656,24.86111111111112,0,0,0,0,0,0,0,0,0,0,0
