Date,Open,High,Low,Close,macd_cla,macdsignal_cla,macdhist_cla,macd_sh,macdsignal_sh,macdhist_sh,cci_14,cci_20,rsi_7,rsi_14,rsi_21,CDLXSIDEGAP3METHODS,CDLEVENINGSTAR,CDLMORNINGSTAR,CDLENGULFING,CDLDARKCLOUDCOVER,CDLDOJI,CDLHAMMER,CDLHANGINGMAN,CDLHARAMI,CDLPIERCING,CDLSHOOTINGSTAR
2015-08-03,1.00076,1.01083,0.9743299999999999,0.9856600000000001,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-04,0.97559,0.99195,0.96426,0.97055,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-05,0.9781,0.98692,0.97055,0.9774700000000001,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-06,0.97496,0.98062,0.9604799999999999,0.9762200000000001,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-07,0.9774700000000001,1.00076,0.9774700000000001,0.9881700000000001,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-10,0.9969899999999999,1.00013,0.98062,0.9888,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-11,0.99321,1.02216,0.9888,0.99321,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-12,0.98629,0.9995,0.96552,0.99069,,,,,,,,,55.877541481654426,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-13,1.0020200000000001,1.00391,0.98062,0.98062,,,,,,,,,43.84072365003206,,,0,0,0,-100,0,0,0,0,0,0,0
2015-08-14,0.9774700000000001,0.98377,0.96677,0.9762200000000001,,,,,,,,,39.50288667174551,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-17,0.98251,0.98503,0.96552,0.9718100000000001,,,,,,,,,35.40641318588201,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-18,0.9718100000000001,0.9718100000000001,0.9535600000000001,0.9548200000000001,,,,,,,,,24.149999941548757,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-19,0.95104,0.96111,0.9416,0.94475,,,,,,,,,19.79772548263033,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-20,0.9416,0.9441200000000001,0.9264899999999999,0.9283799999999999,,,,,,,-219.50630828305069,,14.754662267839128,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-21,0.9195700000000001,0.9529299999999999,0.91894,0.93342,,,,,,,-155.68269221092686,,21.900543177424396,26.284728527328898,,0,0,0,0,0,0,0,0,0,0,0
2015-08-24,0.91265,0.9283799999999999,0.86355,0.8748799999999999,,,,,,,-220.62491267461456,,10.253367409749583,16.716413932787923,,0,0,0,0,0,0,0,0,0,0,0
2015-08-25,0.8874700000000001,0.91453,0.88055,0.91453,,,,,,,-138.38142094317863,,36.809068158223795,34.19053903228298,,0,0,0,0,0,0,0,0,0,0,0
2015-08-26,0.91705,1.02405,0.8988,0.95985,,,,,,,3.3415449979418943,,54.68814068740564,47.698296415317145,,0,0,0,0,0,0,0,0,0,0,0
2015-08-27,0.9844,1.02342,0.9718100000000001,1.01272,,,,,,,101.40265952436523,,67.28586011557368,58.42038663423933,,0,0,0,0,0,0,0,0,0,0,0
2015-08-28,1.02216,1.06182,1.0209,1.0548899999999999,,,,,,,171.38972097200667,195.25099888459226,74.00988521896073,64.64598790714923,,0,0,0,0,0,0,0,0,0,0,0
2015-08-31,1.06874,1.08133,1.03475,1.0807,,,,,,,177.55121269290348,213.52824390701122,77.33616257383862,67.82164619736297,,0,0,0,0,0,0,0,-100,0,0,0
