Date,Open,High,Low,Close,SMA_20,SMA_50,macd,macdsignal,macdhist,cci,rsi,CDLXSIDEGAP3METHODS,CDLEVENINGSTAR,CDLMORNINGSTAR,CDLENGULFING,CDLDARKCLOUDCOVER,CDLDOJI,CDLHAMMER,CDLHANGINGMAN,CDLHARAMI,CDLPIERCING,CDLSHOOTINGSTAR
2015-08-03,8.91,8.94,8.53,8.78,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-04,9.0,9.375,8.9,9.35,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-05,9.35,9.63,9.35,9.54,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-06,9.595,9.87,9.555,9.75,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-07,9.75,9.97,9.55,9.78,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-10,9.97,10.3,9.81,10.1,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-11,10.23,10.6,10.11,10.5,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-12,10.55,10.63,10.07,10.15,,,,,,,,0,0,0,-100,0,0,0,0,0,0,0
2015-08-13,10.35,10.88,10.28,10.88,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-14,10.86,10.88,10.21,10.21,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-17,10.3,10.52,10.22,10.33,,,,,,,,0,0,0,0,0,100,0,0,0,0,0
2015-08-18,10.39,10.39,9.71,9.765,,,,,,,,0,0,0,-100,0,0,0,0,0,0,0
2015-08-19,9.74,9.935,9.605,9.695,,,,,,,,0,0,0,0,0,100,0,0,0,0,0
2015-08-20,9.66,9.77,9.225,9.25,,,,,,-71.31995969588738,,0,0,0,0,0,0,0,0,0,0,0
2015-08-21,9.1,9.415,9.045,9.18,,,,,,-116.3344242784885,54.219409282700425,0,0,0,0,0,0,0,0,0,0,0
2015-08-24,8.94,9.01,8.55,8.66,,,,,,-174.99542375983867,48.49056603773585,0,0,0,0,0,0,0,0,0,0,0
2015-08-25,8.8,9.08,8.78,8.98,,,,,,-125.49019607843105,51.86139688236891,0,0,0,0,0,0,0,0,0,0,0
2015-08-26,9.08,9.36,8.775,9.145,,,,,,-89.92425981179726,53.54935092493777,0,0,0,0,0,0,0,0,0,0,0
2015-08-27,9.47,9.79,9.375,9.715,,,,,,-19.710275463484212,58.90957955580636,0,0,0,0,0,0,0,0,0,0,0
2015-08-28,9.79,9.86,9.505,9.64,9.670000000000002,,,,,-11.185622911271766,57.96180612860774,0,0,0,0,0,0,0,0,0,0,0
2015-08-31,9.65,9.855,9.53,9.745,9.718250000000001,,,,,0.7567939456481498,58.95736413334129,0,0,0,0,0,0,0,0,0,0,0
2015-09-01,9.515,9.675,9.405,9.64,9.732750000000001,,,,,-12.682379349046114,57.491114452129956,0,0,0,0,0,0,0,0,0,0,0
2015-09-02,9.715,9.76,9.1,9.1,9.71075,,,,,-42.308276385725215,50.5309925666001,0,0,0,-100,0,0,0,0,0,0,0
2015-09-03,9.175,9.345,9.055,9.3,9.688250000000002,,,,,-47.503566333809204,52.8097060364774,0,0,0,0,0,0,0,0,100,0,0
2015-09-04,9.205,9.29,8.99,9.08,9.653250000000003,,,,,-60.92715231788131,50.077123634768704,0,0,0,0,0,0,0,0,0,0,0
2015-09-07,9.12,9.2,9.005,9.11,9.603750000000002,,,,,-56.12554397995597,50.45361476526964,0,0,0,0,0,100,0,0,0,0,0
2015-09-08,9.085,9.35,9.07,9.29,9.543250000000002,,,,,-14.355231143552714,52.75579655538428,0,0,0,100,0,0,0,0,0,0,0
2015-09-09,9.42,9.695,9.32,9.525,9.512000000000002,,,,,62.186405717848565,55.65295574612463,0,0,0,0,0,0,0,0,0,0,0
2015-09-10,9.42,9.49,9.31,9.395,9.437750000000003,,,,,25.820423121772013,53.691451962773115,0,0,0,0,0,100,0,0,0,0,0
2015-09-11,9.35,9.495,9.21,9.28,9.391250000000003,,,,,-6.5805867029110345,51.94722716137862,0,0,0,0,0,0,0,0,0,0,0
2015-09-14,9.25,9.265,9.015,9.1,9.32975,,,,,-82.56023013304569,49.25032166545501,0,0,0,0,0,0,0,0,0,0,0
2015-09-15,9.075,9.1,8.845,9.0,9.291500000000003,,,,,-126.28260743825581,47.76664165960406,0,0,0,0,0,0,100,0,0,0,0
2015-09-16,9.11,9.31,9.06,9.27,9.270250000000003,,,,,-41.07981220657269,51.973523782765376,0,0,100,0,0,0,0,0,0,0,0
2015-09-17,9.325,9.545,9.24,9.525,9.284000000000002,,-0.1656384993091251,-0.2336177602650239,0.06797926095589879,53.510063819342115,55.60982886218373,0,0,0,0,0,0,0,0,0,0,0
2015-09-18,9.5,9.5,9.205,9.4,9.295000000000003,,-0.144540950374628,-0.21580239828694472,0.07126144791231673,41.68834923388177,53.47253196908217,0,0,0,0,0,0,0,0,-100,0,0
2015-09-21,9.465,9.59,9.21,9.59,9.341500000000003,,-0.11120764621939827,-0.19488344787343542,0.08367580165403715,97.20944495553522,56.22646388035246,0,0,0,0,0,0,0,0,0,0,0
2015-09-22,9.48,9.59,9.13,9.21,9.353000000000005,,-0.11413787634029404,-0.17873433356680715,0.06459645722651311,18.686401480111076,49.86893227435457,0,0,0,0,0,0,0,0,0,0,0
2015-09-23,9.015,9.3,8.985,9.025,9.347000000000005,,-0.1298907588983731,-0.16896561863312035,0.03907485973474725,-77.94075352315254,47.07806504377054,0,0,0,0,0,100,0,0,0,0,0
2015-09-24,9.115,9.245,8.745,8.805,9.301500000000004,,-0.15830238188378054,-0.1668329712832524,0.00853058939947185,-140.6708595387842,43.92957892542488,0,0,0,-100,0,0,0,0,0,0,0
2015-09-25,8.93,8.955,8.555,8.6,9.249500000000005,,-0.19511146106740362,-0.17248866924008263,-0.022622791827320993,-190.02178649237493,41.166799899765664,0,0,0,0,0,0,0,0,0,0,0
2015-09-28,8.565,8.59,8.21,8.235,9.174000000000003,,-0.2508437999028086,-0.18815969537262783,-0.06268410453018075,-215.63696994276944,36.73670529298627,0,0,0,0,0,0,0,0,0,0,0
2015-09-29,8.155,8.24,7.89,8.015,9.092750000000004,,-0.30919997648436137,-0.21236775159497454,-0.09683222488938684,-207.61764344514086,34.33811101888584,0,0,0,0,0,0,0,0,0,0,0
2015-09-30,8.065,8.23,8.04,8.145,9.045000000000005,,-0.3410266108262121,-0.23809952344122204,-0.10292708738499007,-145.20146520146534,36.95747321215529,0,0,0,0,0,0,0,0,0,0,0
2015-10-01,8.215,8.215,7.91,7.965,8.978250000000005,,-0.37643463931824606,-0.26576654661662685,-0.1106680927016192,-126.98852698852721,34.88254001274787,0,0,0,-100,0,0,0,0,0,0,0
2015-10-02,8.065,8.13,7.855,8.1,8.929250000000003,,-0.38911688797361954,-0.2904366148880254,-0.09868027308559413,-102.9963576386502,37.707321142512015,0,0,0,0,0,100,0,0,100,0,0
2015-10-05,8.2,8.345,8.14,8.26,8.886750000000003,,-0.3818552094218628,-0.3087203337947929,-0.07313487562706988,-63.06718523602542,40.97539126067602,0,0,0,0,0,0,0,0,0,0,0
2015-10-06,8.27,8.38,8.12,8.27,8.835750000000004,,-0.37101651301325766,-0.3211795696384859,-0.04983694337477179,-53.71182398646065,41.1830839968828,0,0,0,0,0,100,0,0,0,0,0
