Date,Open,High,Low,Close,SMA_20,SMA_50,macd,macdsignal,macdhist,cci,rsi,CDLXSIDEGAP3METHODS,CDLEVENINGSTAR,CDLMORNINGSTAR,CDLENGULFING,CDLDARKCLOUDCOVER,CDLDOJI,CDLHAMMER,CDLHANGINGMAN,CDLHARAMI,CDLPIERCING,CDLSHOOTINGSTAR
2015-08-03,4.534,4.5760000000000005,4.488,4.572,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-04,4.59,4.81,4.534,4.72,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-05,4.78,4.95,4.638,4.73,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-06,4.684,4.73,4.546,4.556,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-07,4.592,4.606,4.3919999999999995,4.41,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-10,4.4639999999999995,4.51,4.38,4.488,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-11,4.51,4.5280000000000005,4.4319999999999995,4.44,,,,,,,,0,0,0,-100,0,0,0,0,0,0,0
2015-08-12,4.498,4.498,4.412,4.45,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-13,4.48,4.48,4.3580000000000005,4.37,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-14,4.362,4.436,4.3580000000000005,4.38,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-17,4.4319999999999995,4.45,4.38,4.3839999999999995,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-18,4.386,4.436,4.28,4.28,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-19,4.314,4.354,4.252,4.263999999999999,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-20,4.252,4.342,4.252,4.262,,,,,,-116.20066142679252,,0,0,0,0,0,100,0,0,0,0,0
2015-08-21,4.258,4.33,4.256,4.256,,,,,,-103.36231884057962,31.100478468899517,0,0,0,0,0,100,0,0,0,0,0
2015-08-24,4.244,4.246,3.94,4.12,,,,,,-183.3801212417104,26.46414030692138,0,0,0,0,0,0,0,0,0,0,0
2015-08-25,4.12,4.343999999999999,4.102,4.186,,,,,,-103.69675025702935,31.77927273539994,0,0,0,0,0,0,0,0,0,0,0
2015-08-26,4.248,4.248,4.12,4.15,,,,,,-111.75804625586302,30.484946937025338,0,0,0,0,0,0,0,0,0,0,0
2015-08-27,4.218,4.26,4.14,4.24,,,,,,-72.70044269552429,37.35429677116946,0,0,0,0,0,0,0,0,100,0,0
2015-08-28,4.262,4.266,4.19,4.236000000000001,4.3747,,,,,-52.82358820589727,37.17845168364095,0,0,0,0,0,0,0,-100,0,0,0
2015-08-31,4.23,4.284,4.19,4.284,4.3603000000000005,,,,,-29.358486212069415,40.78105364246631,0,0,0,100,0,0,0,0,0,0,0
2015-09-01,4.242,4.266,4.128,4.192,4.3339,,,,,-67.98767062967853,36.46474849016335,0,0,0,0,0,0,0,0,0,0,0
2015-09-02,4.14,4.24,4.126,4.126,4.3037,,,,,-86.4510079699954,33.708408780275825,0,0,0,0,0,0,0,0,0,0,0
2015-09-03,4.14,4.2,4.126,4.138,4.2828,,,,,-85.90051707814443,34.67525902107545,0,0,0,0,0,100,0,0,0,0,0
2015-09-04,4.176,4.184,4.128,4.132,4.2689,,,,,-86.04353393085772,34.40506370253672,0,0,0,0,0,0,0,0,0,0,0
2015-09-07,4.162,4.192,4.112,4.13,4.251,,,,,-80.09123492994534,34.309094741309,0,0,0,0,0,0,0,0,0,0,0
2015-09-08,4.18,4.218,4.128,4.18,4.238000000000001,,,,,-30.22319795096986,38.89779807502978,0,0,0,0,0,100,0,0,0,0,0
2015-09-09,4.216,4.298,4.212,4.298,4.230400000000001,,,,,119.1281473130394,48.11002958434877,0,0,0,0,0,0,0,0,0,0,0
2015-09-10,4.298,4.35,4.27,4.338,4.228800000000001,,,,,181.05992171032867,50.81701273831977,0,0,0,0,0,0,0,0,0,0,0
