Date,Open,High,Low,Close,SMA_20,SMA_50,macd,macdsignal,macdhist,cci,rsi,CDLXSIDEGAP3METHODS,CDLEVENINGSTAR,CDLMORNINGSTAR,CDLENGULFING,CDLDARKCLOUDCOVER,CDLDOJI,CDLHAMMER,CDLHANGINGMAN,CDLHARAMI,CDLPIERCING,CDLSHOOTINGSTAR
2015-08-03,11.83,11.86,11.67,11.75,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-04,11.79,11.81,11.55,11.8,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-05,11.87,12.2,11.78,12.16,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-06,12.17,12.32,12.12,12.19,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-07,12.3,12.49,12.18,12.33,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-10,12.35,12.72,12.27,12.62,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-11,12.65,12.8,12.58,12.58,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-12,12.6,12.76,12.45,12.71,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-13,12.77,12.99,12.76,12.89,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-14,12.9,13.08,12.83,12.97,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-17,12.97,13.49,12.97,13.46,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-18,13.46,13.65,13.15,13.25,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-19,13.15,13.38,13.07,13.13,,,,,,,,0,0,0,0,0,100,0,0,0,0,0
2015-08-20,13.09,13.09,12.71,12.75,,,,,,38.31066118316975,,0,0,0,0,0,0,0,0,0,0,0
2015-08-21,12.55,12.84,12.42,12.47,,,,,,-15.330988956752286,62.9496402877698,0,0,0,0,0,0,0,0,0,0,0
2015-08-24,12.11,12.4,11.35,12.02,,,,,,-141.2515964240101,53.605089538171526,0,0,0,0,0,0,0,0,0,0,0
2015-08-25,12.05,12.43,12.05,12.33,,,,,,-82.3337982333795,58.20761494252873,0,0,0,0,0,0,0,0,0,0,0
2015-08-26,12.25,12.54,12.1,12.37,,,,,,-72.73530411145101,58.77589197224974,0,0,0,0,0,0,0,0,0,0,0
2015-08-27,12.44,12.77,12.43,12.7,,,,,,-18.7774181948938,63.21934903949622,0,0,0,0,0,0,0,0,0,0,0
2015-08-28,12.84,12.93,12.63,12.8,12.564,,,,,10.144927536232304,64.46916447664574,0,0,0,0,0,100,0,0,0,0,0
2015-08-31,12.84,12.87,12.57,12.73,12.613,,,,,-4.788213627992201,62.85897677988553,0,0,0,0,0,0,100,0,0,0,0
2015-09-01,12.72,12.81,12.42,12.5,12.648,,,,,-35.6661482633482,57.75478576417273,0,0,0,0,0,0,0,0,0,0,0
2015-09-02,12.42,12.73,12.35,12.62,12.671,,,,,-32.970451010886386,59.59810047536309,0,0,0,0,0,0,0,0,0,0,0
2015-09-03,12.77,12.78,12.45,12.65,12.693999999999999,,,,,-15.435981054429549,60.06721220762245,0,0,0,0,0,0,0,0,0,0,0
2015-09-04,12.51,12.73,12.45,12.72,12.7135,,,,,-3.587699316628342,61.19928843115707,0,0,0,0,0,0,0,0,0,0,0
2015-09-07,12.73,12.8,12.57,12.66,12.715499999999999,,,,,27.39238705087176,59.63861694413487,0,0,0,0,0,0,0,0,0,0,0
2015-09-08,12.66,12.8,12.58,12.78,12.725499999999998,,,,,62.48976248976263,61.74008963532781,0,0,0,0,0,0,0,0,0,0,0
2015-09-09,12.9,12.91,12.75,12.79,12.729499999999998,,,,,102.8704848235138,61.918032478973664,0,0,0,0,0,0,0,0,0,0,0
2015-09-10,12.7,12.9,12.67,12.74,12.721999999999998,,,,,75.16778523489964,60.40528579527569,0,0,0,0,0,0,0,0,0,0,0
2015-09-11,12.71,12.83,12.6,12.76,12.711499999999997,,,,,57.102672292543886,60.81765306027622,0,0,0,0,0,0,0,0,0,0,0
2015-09-14,12.75,12.9,12.63,12.85,12.680999999999996,,,,,87.90538892953047,62.70022003933595,0,0,0,0,0,0,0,0,0,0,0
2015-09-15,12.84,12.95,12.65,12.92,12.664499999999995,,,,,118.14345991561203,64.14323652072862,0,0,0,0,0,0,0,0,0,0,0
2015-09-16,12.94,12.96,12.75,12.78,12.646999999999995,,,,,97.27520435967277,59.20955094968549,0,0,0,-100,0,0,0,0,0,0,0
2015-09-17,12.87,13.0,12.84,13.0,12.659499999999996,,0.07073957342031179,0.022228545966723426,0.04851102745358836,165.79915878023016,63.907582215499914,0,0,0,0,0,0,0,0,0,0,0
2015-09-18,13.06,13.07,12.68,12.87,12.679499999999996,,0.0733960147852688,0.032462039730432504,0.0409339750548363,90.87893864013127,59.5434606154814,0,0,0,0,0,0,0,0,0,0,0
2015-09-21,12.7,13.29,12.7,13.16,12.736499999999996,,0.09777475357792476,0.04552458249993095,0.052250171077993804,178.81619937694515,65.24510092673633,0,0,0,100,0,0,0,0,0,0,0
2015-09-22,13.1,13.31,12.7,12.79,12.759499999999994,,0.08624499333196667,0.053668664666338094,0.032576328665628575,90.87893864013063,54.66052844986508,0,0,0,0,0,0,0,0,0,0,0
2015-09-23,12.76,12.99,12.73,12.87,12.784499999999994,,0.08261062284488396,0.05945705630204727,0.023153566542836693,33.98328690807577,56.31086239344248,0,0,0,0,0,0,0,0,0,0,0
2015-09-24,12.94,13.18,12.74,12.76,12.787499999999994,,0.07004682120577499,0.06157500928279282,0.008471811922982173,48.2758620689625,53.43097278357332,0,0,0,0,0,0,0,0,0,0,0
