Date,Open,High,Low,Close,macd_cla,macdsignal_cla,macdhist_cla,macd_sh,macdsignal_sh,macdhist_sh,cci_14,cci_20,rsi_7,rsi_14,rsi_21,CDLXSIDEGAP3METHODS,CDLEVENINGSTAR,CDLMORNINGSTAR,CDLENGULFING,CDLDARKCLOUDCOVER,CDLDOJI,CDLHAMMER,CDLHANGINGMAN,CDLHARAMI,CDLPIERCING,CDLSHOOTINGSTAR
2015-08-03,4.534,4.5760000000000005,4.488,4.572,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-04,4.59,4.81,4.534,4.72,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-05,4.78,4.95,4.638,4.73,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-06,4.684,4.73,4.546,4.556,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-07,4.592,4.606,4.3919999999999995,4.41,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-10,4.4639999999999995,4.51,4.38,4.488,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-11,4.51,4.5280000000000005,4.4319999999999995,4.44,,,,,,,,,,,,0,0,0,-100,0,0,0,0,0,0,0
2015-08-12,4.498,4.498,4.412,4.45,,,,,,,,,40.065146579804576,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-13,4.48,4.48,4.3580000000000005,4.37,,,,,,,,,34.77851083883131,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-14,4.362,4.436,4.3580000000000005,4.38,,,,,,,,,36.00986360483933,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-17,4.4319999999999995,4.45,4.38,4.3839999999999995,,,,,,,,,36.56872230992507,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-18,4.386,4.436,4.28,4.28,,,,,,,,,28.909987586808455,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-19,4.314,4.354,4.252,4.263999999999999,,,,,,,,,27.862611874665816,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-20,4.252,4.342,4.252,4.262,,,,,,,-116.20066142679252,,27.716176932088576,,,0,0,0,0,0,100,0,0,0,0,0
2015-08-21,4.258,4.33,4.256,4.256,,,,,,,-103.36231884057962,,27.215556965524257,31.100478468899517,,0,0,0,0,0,100,0,0,0,0,0
2015-08-24,4.244,4.246,3.94,4.12,,,,,,,-183.3801212417104,,18.418141606876556,26.46414030692138,,0,0,0,0,0,0,0,0,0,0,0
2015-08-25,4.12,4.343999999999999,4.102,4.186,,,,,,,-103.69675025702935,,31.039106708688436,31.77927273539994,,0,0,0,0,0,0,0,0,0,0,0
2015-08-26,4.248,4.248,4.12,4.15,,,,,,,-111.75804625586302,,28.257253122502195,30.484946937025338,,0,0,0,0,0,0,0,0,0,0,0
2015-08-27,4.218,4.26,4.14,4.24,,,,,,,-72.70044269552429,,43.12467714739956,37.35429677116946,,0,0,0,0,0,0,0,0,100,0,0
2015-08-28,4.262,4.266,4.19,4.236000000000001,,,,,,,-52.82358820589727,-76.2858794066656,42.66621225135445,37.17845168364095,,0,0,0,0,0,0,0,-100,0,0,0
2015-08-31,4.23,4.284,4.19,4.284,,,,,,,-29.358486212069415,-59.067022394696906,50.0940229869889,40.78105364246631,,0,0,0,100,0,0,0,0,0,0,0
2015-09-01,4.242,4.266,4.128,4.192,,,,,,,-67.98767062967853,-80.29665055188799,38.84170774738805,36.46474849016335,35.47400611620792,0,0,0,0,0,0,0,0,0,0,0
2015-09-02,4.14,4.24,4.126,4.126,,,,,,,-86.4510079699954,-92.83658490434495,32.695027938455986,33.708408780275825,33.689101865969626,0,0,0,0,0,0,0,0,0,0,0
2015-09-03,4.14,4.2,4.126,4.138,,,,,,,-85.90051707814443,-93.96106475963516,34.88094881859559,34.67525902107545,34.32000747916257,0,0,0,0,0,100,0,0,0,0,0
2015-09-04,4.176,4.184,4.128,4.132,,,,,,,-86.04353393085772,-91.91814082552912,34.232401817622225,34.40506370253672,34.149429784380814,0,0,0,0,0,0,0,0,0,0,0
