Date,Open,High,Low,Close,macd_cla,macdsignal_cla,macdhist_cla,macd_sh,macdsignal_sh,macdhist_sh,cci_14,cci_20,rsi_7,rsi_14,rsi_21,CDLXSIDEGAP3METHODS,CDLEVENINGSTAR,CDLMORNINGSTAR,CDLENGULFING,CDLDARKCLOUDCOVER,CDLDOJI,CDLHAMMER,CDLHANGINGMAN,CDLHARAMI,CDLPIERCING,CDLSHOOTINGSTAR
2015-08-03,11.83,11.86,11.67,11.75,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-04,11.79,11.81,11.55,11.8,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-05,11.87,12.2,11.78,12.16,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-06,12.17,12.32,12.12,12.19,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-07,12.3,12.49,12.18,12.33,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-10,12.35,12.72,12.27,12.62,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-11,12.65,12.8,12.58,12.58,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-12,12.6,12.76,12.45,12.71,,,,,,,,,96.15384615384623,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-13,12.77,12.99,12.76,12.89,,,,,,,,,96.80000000000007,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-14,12.9,13.08,12.83,12.97,,,,,,,,,97.05641864268199,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-17,12.97,13.49,12.97,13.46,,,,,,,,,98.12820901665984,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-18,13.46,13.65,13.15,13.25,,,,,,,,,83.0148911798396,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-19,13.15,13.38,13.07,13.13,,,,,,,,,75.28484247442445,,,0,0,0,0,0,100,0,0,0,0,0
2015-08-20,13.09,13.09,12.71,12.75,,,,,,,38.31066118316975,,56.014949045205185,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-21,12.55,12.84,12.42,12.47,,,,,,,-15.330988956752286,,45.912552167737665,62.9496402877698,,0,0,0,0,0,0,0,0,0,0,0
2015-08-24,12.11,12.4,11.35,12.02,,,,,,,-141.2515964240101,,34.3102207847048,53.605089538171526,,0,0,0,0,0,0,0,0,0,0,0
2015-08-25,12.05,12.43,12.05,12.33,,,,,,,-82.3337982333795,,45.39956582479164,58.20761494252873,,0,0,0,0,0,0,0,0,0,0,0
2015-08-26,12.25,12.54,12.1,12.37,,,,,,,-72.73530411145101,,46.75273011060102,58.77589197224974,,0,0,0,0,0,0,0,0,0,0,0
2015-08-27,12.44,12.77,12.43,12.7,,,,,,,-18.7774181948938,,57.007918470460964,63.21934903949622,,0,0,0,0,0,0,0,0,0,0,0
2015-08-28,12.84,12.93,12.63,12.8,,,,,,,10.144927536232304,41.83121252011112,59.748609236774776,64.46916447664574,,0,0,0,0,0,100,0,0,0,0,0
2015-08-31,12.84,12.87,12.57,12.73,,,,,,,-4.788213627992201,24.758837213085826,56.7919377008799,62.85897677988553,,0,0,0,0,0,0,100,0,0,0,0
2015-09-01,12.72,12.81,12.42,12.5,,,,,,,-35.6661482633482,-14.161958568737862,47.736622824769256,57.75478576417273,58.70069605568445,0,0,0,0,0,0,0,0,0,0,0
2015-09-02,12.42,12.73,12.35,12.62,,,,,,,-32.970451010886386,-24.11798256335081,52.360286250766855,59.59810047536309,59.873760144274115,0,0,0,0,0,0,0,0,0,0,0
2015-09-03,12.77,12.78,12.45,12.65,,,,,,,-15.435981054429549,-15.490757615204787,53.55862771118607,60.06721220762245,60.1707288420982,0,0,0,0,0,0,0,0,0,0,0
2015-09-04,12.51,12.73,12.45,12.72,,,,,,,-3.587699316628342,-18.528635163433773,56.5349194943001,61.19928843115707,60.88005588877409,0,0,0,0,0,0,0,0,0,0,0
2015-09-07,12.73,12.8,12.57,12.66,,,,,,,27.39238705087176,-8.80626223091959,53.12997473396119,59.63861694413487,59.91964755435636,0,0,0,0,0,0,0,0,0,0,0
2015-09-08,12.66,12.8,12.58,12.78,,,,,,,62.48976248976263,2.3945348263966464,58.90506032382966,61.74008963532781,61.204867371445395,0,0,0,0,0,0,0,0,0,0,0
2015-09-09,12.9,12.91,12.75,12.79,,,,,,,102.8704848235138,26.942618747961774,59.391518526290966,61.918032478973664,61.313413501944055,0,0,0,0,0,0,0,0,0,0,0
2015-09-10,12.7,12.9,12.67,12.74,,,,,,,75.16778523489964,15.795752803627272,55.555331925422365,60.40528579527569,60.425810236918906,0,0,0,0,0,0,0,0,0,0,0
2015-09-11,12.71,12.83,12.6,12.76,,,,,,,57.102672292543886,8.032128514056396,56.85581395563957,60.81765306027622,60.664972220877104,0,0,0,0,0,0,0,0,0,0,0
2015-09-14,12.75,12.9,12.63,12.85,,,,,,,87.90538892953047,39.40942646223822,62.60099868026333,62.70022003933595,61.75700047840383,0,0,0,0,0,0,0,0,0,0,0
2015-09-15,12.84,12.95,12.65,12.92,,,,,,,118.14345991561203,72.54352933603737,66.63283875574035,64.14323652072862,62.604841877381425,0,0,0,0,0,0,0,0,0,0,0
2015-09-16,12.94,12.96,12.75,12.78,,,,,,,97.27520435967277,83.6177474402733,53.240357667108675,59.20955094968549,59.81982945910119,0,0,0,-100,0,0,0,0,0,0,0
2015-09-17,12.87,13.0,12.84,13.0,0.07073957342031179,0.022228545966723426,0.04851102745358836,,,,165.79915878023016,127.77143647746473,65.83096912363703,63.907582215499914,62.56742534058457,0,0,0,0,0,0,0,0,0,0,0
