Date,Open,High,Low,Close,macd_cla,macdsignal_cla,macdhist_cla,macd_sh,macdsignal_sh,macdhist_sh,cci_14,cci_20,rsi_7,rsi_14,rsi_21,CDLXSIDEGAP3METHODS,CDLEVENINGSTAR,CDLMORNINGSTAR,CDLENGULFING,CDLDARKCLOUDCOVER,CDLDOJI,CDLHAMMER,CDLHANGINGMAN,CDLHARAMI,CDLPIERCING,CDLSHOOTINGSTAR
2015-08-03,3.73,3.89,3.72,3.8539999999999996,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-04,3.8539999999999996,3.9,3.762,3.83,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-05,3.85,3.91,3.818,3.9,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-06,3.91,3.93,3.84,3.85,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-07,3.82,3.84,3.71,3.74,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-10,3.79,3.8280000000000003,3.7260000000000004,3.74,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-11,3.7119999999999997,3.766,3.668,3.696,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-12,3.65,3.7539999999999996,3.5460000000000003,3.61,,,,,,,,,18.22916666666665,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-13,3.61,3.656,3.596,3.6260000000000003,,,,,,,,,22.01986754966897,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-14,3.63,3.7,3.6,3.7,,,,,,,,,37.6227789427216,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-17,3.766,3.766,3.634,3.68,,,,,,,,,35.38999238701644,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-18,3.68,3.73,3.66,3.73,,,,,,,,,44.923439224584016,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-19,3.738,3.738,3.608,3.668,,,,,,,,,37.02091583460593,,,0,0,0,-100,0,0,0,0,0,0,0
2015-08-20,3.6260000000000003,3.642,3.4,3.4019999999999997,,,,,,,-190.58810903627403,,19.686737084267246,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-21,3.3280000000000003,3.3939999999999997,3.22,3.25,,,,,,,-250.56049478160014,,15.003407199146531,20.507812500000007,,0,0,0,0,0,0,0,0,0,0,0
2015-08-24,3.148,3.2319999999999998,3.01,3.16,,,,,,,-231.28924893242888,,12.885830565537873,18.734559429042008,,0,0,0,0,0,100,0,0,0,0,0
2015-08-25,3.176,3.322,3.142,3.322,,,,,,,-128.07769662326686,,32.80267458231141,30.400383384270402,,0,0,100,0,0,0,0,0,0,0,0
2015-08-26,3.26,3.3960000000000004,3.248,3.32,,,,,,,-84.53093812375286,,32.69500947932616,30.342472505425327,,0,0,0,0,0,0,0,0,-100,0,0
2015-08-27,3.35,3.45,3.346,3.4419999999999997,,,,,,,-42.21601349140459,,45.43945699541135,38.08989363454186,,0,0,0,0,0,0,0,0,0,0,0
2015-08-28,3.47,3.47,3.36,3.43,,,,,,,-32.06021745190991,-63.56746974324177,44.47309616945434,37.646368439348095,,0,0,0,0,-100,0,0,-100,0,0,0
2015-08-31,3.3760000000000003,3.432,3.364,3.4219999999999997,,,,,,,-31.03961870717917,-60.31567080045089,43.74943681445779,37.334257152274205,,0,0,0,0,0,0,0,0,0,0,0
2015-09-01,3.36,3.448,3.338,3.41,,,,,,,-28.38401908169371,-55.756886709775415,42.53813244739495,36.84086510103981,34.49720670391062,0,0,0,0,0,0,0,0,0,0,0
2015-09-02,3.4160000000000004,3.54,3.4160000000000004,3.528,,,,,,,19.15255324608638,-15.979643765903246,56.39014822836719,44.594775804711155,39.71334918696574,0,0,0,0,0,0,0,0,0,0,0
2015-09-03,3.5260000000000002,3.64,3.516,3.582,,,,,,,65.308742061883,23.96332569285217,61.36289517313873,47.75574043861842,41.93514440382931,0,0,0,0,0,0,0,0,0,0,0
2015-09-04,3.534,3.55,3.424,3.45,,,,,,,24.326009038491318,-14.664814897779744,46.30493906880453,41.51996142150759,38.31122615321494,0,0,0,0,0,0,0,0,0,0,0
2015-09-07,3.5,3.5,3.3739999999999997,3.4560000000000004,,,,,,,20.831263454214607,-23.483365949119392,46.994707837175426,41.891383462017316,38.56461381281356,0,0,0,0,0,0,0,0,100,0,0
2015-09-08,3.428,3.54,3.404,3.498,,,,,,,63.475035358791686,0.43080236941274536,52.0274724379719,44.54643068343676,40.36500890307684,0,0,0,0,0,0,0,0,0,0,0
2015-09-09,3.534,3.5860000000000003,3.508,3.534,,,,,,,104.82073456361172,37.78337531486117,56.187405626435236,46.79061164789516,41.89746079327574,0,0,0,0,0,100,0,0,0,0,0
2015-09-10,3.516,3.59,3.51,3.556,,,,,,,99.28532160527705,46.39551407612223,58.738384998106966,48.17101478701347,42.83997430495886,0,0,0,0,0,0,0,0,0,0,0
2015-09-11,3.5439999999999996,3.5860000000000003,3.478,3.486,,,,,,,63.39021615472157,32.24128965158569,48.299131451108245,44.23843561370232,40.63762861996899,0,0,0,0,0,0,0,0,0,0,0
2015-09-14,3.4819999999999998,3.554,3.43,3.466,,,,,,,20.3167711850775,20.00714540907398,45.59784577959235,43.15442471175524,40.02040992270249,0,0,0,0,0,0,0,0,0,0,0
2015-09-15,3.4960000000000004,3.588,3.426,3.58,,,,,,,70.54886211512763,63.031273115306526,60.34605374169723,50.58693057228432,45.01836682899135,0,0,100,0,0,0,0,0,0,0,0
2015-09-16,3.58,3.778,3.58,3.7,,,,,,,214.08140814081318,173.7758996400239,70.25042832926111,56.96541234034501,49.65508128724271,0,0,0,0,0,0,0,0,0,0,0
2015-09-17,3.7319999999999998,3.752,3.622,3.6519999999999997,-0.036352112089161004,-0.10177098801230534,0.06541887592314434,,,,161.0632485816345,145.31775885963145,62.91687328177925,53.96466358193076,47.956488099944764,0,0,0,0,0,0,0,0,0,0,0
2015-09-18,3.65,3.6860000000000004,3.592,3.6,-0.028285041638320685,-0.08707379873750841,0.058788757099187725,,,,94.00937784309565,104.92481032211157,55.58325275598509,50.840220585933814,46.1603243079447,0,0,0,0,0,0,0,0,0,0,0
2015-09-21,3.638,3.658,3.6,3.648,-0.017813290810587912,-0.07322169715212432,0.055408406341536404,,,,87.91836152144444,105.83266342558886,60.536921350713726,53.515644021943096,48.04632577083207,0,0,0,0,0,100,0,0,0,0,0
2015-09-22,3.658,3.658,3.49,3.54,-0.018021311776772908,-0.06218162007705404,0.04416030830028113,,,,6.879606879606825,42.861181792479286,46.82771113123266,47.28068551372085,44.37400948150107,0,0,0,-100,0,0,0,0,0,0,0
2015-09-23,3.55,3.702,3.5239999999999996,3.634,-0.010480344593279511,-0.051841364980299134,0.04136102038701962,,,,63.01631010379141,83.72372372372374,56.768917758978255,52.471071079424,48.005857878061875,0,0,0,0,0,0,0,0,0,0,0
2015-09-24,3.6660000000000004,3.72,3.602,3.6260000000000003,-0.005090921932784376,-0.04249127637079618,0.037400354438011804,0.03518061978792408,0.03235964933481359,0.0028209704531104926,78.45201238390132,99.53432477091759,55.7342876261528,52.00183076585606,47.72739384620171,0,0,0,0,0,0,0,0,0,0,0
2015-09-25,3.648,3.9,3.648,3.838,0.016101257324672602,-0.030772769631702425,0.04687402695637503,0.09600529043070738,0.05357486303344486,0.04243042739726252,181.9253438113954,195.52996023584234,71.68743524952997,61.760993222185704,54.99182263960067,0,0,0,0,0,0,0,0,0,0,0
2015-09-28,3.87,3.9760000000000004,3.824,3.824,0.03140451734319649,-0.018337312236722643,0.049741829579919135,0.12863554064226124,0.07859508890305031,0.05004045173921093,205.5686274509802,214.3135250888206,69.7507164707176,60.88066600781485,54.46696446737085,0,0,0,0,0,0,0,0,0,0,0
2015-09-29,3.7939999999999996,3.804,3.6319999999999997,3.708,0.03378280348485241,-0.007913289092407632,0.04169609257726004,0.11457615113393871,0.09058877631334644,0.023987374820592267,63.166083236094856,86.7941678642933,55.306962792360636,54.01112505526158,50.29103037344479,0,0,0,0,0,0,0,0,0,0,0
2015-09-30,3.728,3.8,3.7239999999999998,3.764,0.03972838033674986,0.001615044793423866,0.038113335543325993,0.11915771790399576,0.10011175684356288,0.01904596106043288,86.5886877103026,108.48463272813538,59.97505062679874,56.55946969330865,52.150615881137895,0,0,0,0,0,0,0,0,100,0,0
2015-10-01,3.8,3.838,3.7119999999999997,3.75,0.04281704162713407,0.009855444160165906,0.03296159746696816,0.11594689479803177,0.10539013616171918,0.0105567586363126,77.09880068532313,99.0232401481985,58.20198922134425,55.72808091923529,51.643477849101814,0,0,0,0,0,0,0,0,0,0,0
2015-10-02,3.7960000000000003,3.82,3.73,3.7760000000000002,0.04682306353125698,0.01724896803438412,0.02957409549687286,0.11900032293875773,0.1099268650873987,0.009073457851359032,72.42791132947336,94.86228218100072,60.71814346486944,56.9924490353538,52.543385824325995,0,0,0,0,0,0,0,0,0,0,0
2015-10-05,3.8,3.8939999999999997,3.8,3.89,0.05852210560962945,0.025503595549433183,0.033018510060196266,0.15038580875071927,0.12341317964183889,0.02697262910888039,124.89862124898602,135.58279513202342,69.96652152618563,62.10298426424553,56.28845625268056,0,0,0,0,0,0,0,0,0,0,0
2015-10-06,3.88,3.95,3.826,3.8339999999999996,0.06255386671821572,0.03291364978318969,0.029640216935026033,0.15180656261842218,0.13287764063403332,0.018928921984388863,108.5423482370047,126.00732600732567,61.648398591564515,58.429949461064545,54.08690965513184,0,0,0,0,0,0,0,0,-100,0,0
2015-10-07,3.85,3.9,3.8139999999999996,3.9,0.07026474659852466,0.04038386914625668,0.02988087745226798,0.1682232120421907,0.14465949777008577,0.023563714272104935,94.02469135802468,112.20298445380308,67.03687650738853,61.332621036472226,56.20655341821988,0,0,0,0,0,0,0,0,0,0,0
